symbol,dll,export,lib
PolyDraw,GDI32.dll,PolyDraw,Gdi32.Lib
PolyPatBlt,GDI32.dll,PolyPatBlt,Gdi32.Lib
PolyPolygon,GDI32.dll,PolyPolygon,Gdi32.Lib
PolyPolyline,GDI32.dll,PolyPolyline,Gdi32.Lib
PolyTextOutA,GDI32.dll,PolyTextOutA,Gdi32.Lib
PolyTextOutW,GDI32.dll,PolyTextOutW,Gdi32.Lib
Polygon,GDI32.dll,Polygon,Gdi32.Lib
Polyline,GDI32.dll,Polyline,Gdi32.Lib
PolylineTo,GDI32.dll,PolylineTo,Gdi32.Lib
PopupExpertConfigurationUI,NMAPI.dll,PopupExpertConfigurationUI,nmapi.lib
PostADsPropSheet,dsprop.dll,PostADsPropSheet,DSProp.Lib
PostComponentError,ODBC32.dll,PostComponentError,odbc32.lib
PostMessageA,USER32.dll,PostMessageA,User32.Lib
PostMessageW,USER32.dll,PostMessageW,User32.Lib
PostODBCComponentError,ODBC32.dll,PostODBCComponentError,odbc32.lib
