symbol,version
uset_getRangeCount,10.0.26100
uset_hasStrings,10.0.26100
uset_removeAllCodePoints,10.0.26100
uset_retainAllCodePoints,10.0.26100
uset_retainString,10.0.26100
AddClusterGroupDependencyEx,10.0.22621
AddClusterGroupSetDependencyEx,10.0.22621
AddClusterGroupToGroupSetDependencyEx,10.0.22621
AddClusterResourceDependencyEx,10.0.22621
AddClusterResourceNodeEx,10.0.22621
AddResourceToClusterSharedVolumesEx2,10.0.22621
AssocCreateElement,10.0.22621
AtqInitializeEx,10.0.22621
BuildIoRingFlushFile,10.0.22621
BuildIoRingWriteFile,10.0.22621
CdplGetFileProtectionLevelAndUser,10.0.22621
CdplSetIsPolicyEnabledForCurrentUser,10.0.22621
CdplSetIsPolicyEnabledForUser,10.0.22621
CfGetPlaceholderRangeInfoForHydration,10.0.22621
ChangeClusterResourceGroupEx2,10.0.22621
CimKmMergeMountImage,10.0.22621
ClusapiSetReasonHandler,10.0.22621
ClusterAddGroupToGroupSetWithDomainsEx,10.0.22621
ClusterCaptureLiveDumpEx,10.0.22621
ClusterControlEx,10.0.22621
ClusterGroupControlEx,10.0.22621
ClusterGroupSetControlEx,10.0.22621
ClusterNetInterfaceControlEx,10.0.22621
ClusterNetworkControlEx,10.0.22621
ClusterNodeControlEx,10.0.22621
ClusterRegCreateKeyEx,10.0.22621
ClusterRegDeleteKeyEx,10.0.22621
ClusterRegDeleteValueEx,10.0.22621
ClusterRegSetKeySecurityEx,10.0.22621
ClusterRegSetValueEx,10.0.22621
ClusterRemoveGroupFromGroupSetEx,10.0.22621
ClusterResourceControlAsUserEx,10.0.22621
ClusterResourceControlEx,10.0.22621
ClusterResourceTypeControlAsUserEx,10.0.22621
ClusterResourceTypeControlEx,10.0.22621
CreateActivityCoordinatorPolicy,10.0.22621
CreateClusterResourceEx,10.0.22621
CreateClusterResourceTypeEx,10.0.22621
CreateDateGroupDescription,10.0.22621
CreateInfoTipFromItem2,10.0.22621
CreateSendBlob,10.0.22621
CreateUniqueName,10.0.22621
D3DKMTConnectDoorbell,10.0.22621
D3DKMTCreateDoorbell,10.0.22621
D3DKMTCreateNativeFence,10.0.22621
D3DKMTDestroyDoorbell,10.0.22621
D3DKMTEnumProcesses,10.0.22621
D3DKMTNotifyWorkSubmission,10.0.22621
D3DKMTOpenNativeFenceFromNtHandle,10.0.22621
DXGIDisableVBlankVirtualization,10.0.22621
DeleteClusterGroupEx,10.0.22621
DeleteClusterGroupSetEx,10.0.22621
DeleteClusterResourceEx,10.0.22621
DeleteClusterResourceTypeEx,10.0.22621
DestroyActivityCoordinatorPolicy,10.0.22621
DestroyClusterGroupEx,10.0.22621
